Question,QuestionType,Options,Selected,Answer
"j. Resources, knowledge, and skills to accomplish diversification ",choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
"k. Stakeholder involvement, dialogue to promote and implement multiple use",choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
l. Social conflict due to the impact of a management option on other products and services. ,choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
m. Negotiation capacity for decision making and resolve conflict ,choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
n. Gender participation/involvement ,choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
o. Distribution of economic benefits among ,choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
p. Community-enterprise interaction ,choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
q. Efficiency of administrational process,choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
r. Legal framework regarding MFM compatible/incompatible forestry laws MFM ,choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
"s. Interagency coordination, complicated administrative process for different product. ",choice,Very low barrier---Somewhat a barrier---Moderate barrier---Strong barrier---Very strong barrier---Not relevant to my initiative---Do not know,,
Do you have any words at the end?,input,,,
